seqID,DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
PFCLINvar04,-261.2889664698635,-280.6660897801345,-269.0773851645936,-285.1149147350552,-277.53726469506364,-268.9670951222626,-270.68997410881104,-280.19151059821814,-280.16737971008325,-289.42411869485966,-279.55464747289784,-274.3601217610507,-296.876681938304,-297.24212048517325,-282.7688022474353,-299.04760368647317,-297.45793354683684,-326.3811633356348,-271.9369220050235,-269.5595329803029,-276.36820925391635,-285.9085276486667,-278.07332655506536,-288.6258773327084,0,-336.36334395703597,0,0,0,0,0,0,-303.9915386299055
PFCLINvar07,-271.2013994675152,-295.1883928887914,-274.26508150640007,-295.36009342602296,-279.05107896728623,-271.6440899518036,-279.53454980318384,-278.4997152789337,-281.5350013106393,-315.28312588623345,-281.5526134688018,-277.56736021891885,-284.5545603289005,-315.07782601854,-276.85164240754926,-314.88412630840645,-308.1980794815123,-338.5518465418712,-310.22707317640237,-273.44397474557377,-294.64720787777736,-303.03740032805973,-287.34907424810217,-298.767750040656,0,-355.10337277405404,0,0,0,0,0,0,-304.2515576264099
PFCLINvar08,-247.18121068105177,-259.1217355914001,-243.62343186031674,-238.38191330508164,-228.45444316249424,-241.25598826221778,-234.04944761379457,-256.8548103336669,-258.4185473084197,-257.73073134685075,-233.01075121455887,-262.1797521980715,-282.0647349132501,-253.80395028887668,-228.11745847405695,-262.6830195093408,-284.1746277740064,-287.2647429334945,-255.62059683188983,-230.5982757184861,-244.56860410050032,-252.90146664592015,-238.5027397928542,-241.88165208099176,0,-310.08912594834175,0,0,0,0,0,0,-252.76901038522166
PFCLINvar11,-249.78034137102748,-256.38011984198084,-252.58625752192535,-259.1615182235132,-254.18019329650465,-239.16459764552098,-251.140764678392,-267.4950336080668,-264.81696107643785,-267.5059499857029,-257.3347839166555,-278.88015261010975,-289.9600906784316,-262.99358121119576,-257.36628376576596,-274.49815800040903,-290.07587845671515,-295.295763280182,-258.2414042560326,-251.28318982396104,-250.52391641639238,-270.3505890961869,-254.69404431717146,-254.10376050746183,0,-317.57436763549356,0,0,0,0,0,0,-272.71084640684126
PFCLINvar22,-256.51551584476914,-266.42411707668674,-259.27428378721265,-282.3513271487574,-269.7131250271271,-268.57877940085945,-267.44584256606964,-272.64185564406154,-253.4374145260178,-292.6023477489097,-274.81898384559236,-274.15516210474414,-271.01727899002566,-293.04907688153787,-273.4071256291804,-293.769858075831,-285.77717092999114,-312.8670656751369,-290.7477516538516,-268.59266617828234,-277.25104432010687,-285.5231302373958,-266.97777491987796,-278.93114674273374,0,-330.7338389552169,0,0,0,0,0,0,-298.10690061745237
PFCLINvar23,-239.51890905903522,-255.27140285060932,-244.36804351483974,-266.8144017296533,-259.91974024711527,-256.4496883253989,-254.814558225237,-240.01626573017217,-236.09393629022858,-270.1954584773071,-256.80571728941726,-230.66187136496495,-210.6413037007581,-277.98965312261566,-260.12452898838467,-240.45249670637887,-221.5760053934923,-258.3156925522287,-269.7725321586594,-247.87817890850403,-258.8483292820708,-235.7225933641994,-255.67969580813698,-263.08589782170026,0,-297.81493355467217,0,0,0,0,0,0,-282.20970192259597
PFCLINvar24,-225.26695687848724,-217.4081226479405,-230.11925610306102,-232.2544429364627,-223.4180344723693,-234.12609466352023,-222.6031999517737,-236.88028863105708,-227.00178216676946,-233.51774557771202,-225.56336103023156,-239.88781126760992,-252.81205540560055,-236.49026729779814,-228.2203327935451,-238.42390943291238,-247.62573738568418,-259.29332444474693,-229.09200345230272,-227.1439331495966,-222.67386891857743,-233.36714627222844,-220.58978538048004,-224.16584026007982,0,-274.13312588472564,0,0,0,0,0,0,-246.67262934640385
PFCLINvar25,-243.1470222188282,-267.36151383917274,-249.29428426906972,-270.18030357074,-244.92402362764398,-262.55104097157783,-256.5519110337265,-232.8643471402217,-245.82119144350236,-279.7090325345303,-257.5495373222522,-219.34048670877,-237.64606285597947,-281.6190286283832,-256.514061930203,-246.90579359148032,-234.99153291550866,-263.0644751863147,-277.88593608101104,-241.56487424091608,-257.52289963500937,-241.07753132609562,-264.8545895247416,-273.12574025615487,0,-304.7148624956981,0,0,0,0,0,0,-284.0575578234645
PFCLINvar26,-238.48011019535448,-260.99292264044584,-241.94087183526554,-262.8630283508617,-249.81644067371312,-259.4878146553364,-250.06518263188434,-223.88227391807172,-237.36491260105467,-273.6840488710471,-249.5056189635328,-216.77463000739655,-233.3473120843614,-273.2054981878937,-251.41724495982567,-245.714316298812,-228.29595352128132,-260.21400169646785,-272.7083607042688,-234.48903915759817,-254.66076045320852,-238.93958657057908,-261.23875722137427,-267.7060624770094,0,-306.5459285340363,0,0,0,0,0,0,-278.99767954166833
PFCLINvar27,-233.35036222040492,-219.2609536481566,-232.8463918771936,-238.06610708337402,-229.74836559261462,-242.25569574935346,-232.14719469159203,-247.67592366053475,-233.3767232978504,-247.08909137605195,-233.270018911286,-260.401737243175,-259.3146748004825,-244.25879968453515,-229.5798069789694,-250.8119624085691,-261.2374305943056,-268.8755741679687,-247.27228074713153,-231.28128158351984,-232.99053130035458,-244.53086164198336,-225.13895728628876,-229.64655255566288,0,-288.78828602463335,0,0,0,0,0,0,-252.6764081978273
PFCLINvar28,-228.62595340019467,-225.0255295163902,-228.5930448230205,-212.29030746304045,-226.01800791666597,-244.55671197541565,-223.87847179082524,-243.10752390395655,-243.0328196737438,-239.25159672046223,-227.673016059617,-257.1632220926693,-264.8580452464505,-216.04538876280603,-225.9535031707825,-242.01600177611238,-259.7461834145074,-257.50468842647314,-233.19522739561674,-232.30365588364873,-217.51875179194792,-236.20468826473598,-227.30318892465036,-229.6807683595273,0,-281.7329969266537,0,0,0,0,0,0,-239.09219301260143
PFCLINvar29,-251.767774766357,-261.5606758225022,-248.21484307667444,-240.5659394612547,-245.25580660474557,-256.88883681898074,-242.38082018070398,-258.9434633428288,-267.8823283772213,-260.8995747767787,-248.02289065263537,-277.6142220584432,-288.3906945595797,-243.89059307026616,-242.46965059955673,-265.17559809044104,-287.26874316557127,-284.05316508731636,-253.96658384795296,-247.7615561831085,-253.3497289587263,-260.80632318308506,-249.90316386166623,-250.80940307452073,0,-302.3190344166644,0,0,0,0,0,0,-246.41260206257462
PFCLINvar30,-264.5004971304299,-273.83053923545833,-260.65536106598387,-248.40431056553356,-264.26773483197377,-274.47763129810596,-259.0629849800701,-274.52429589806275,-279.6002153537417,-248.75373183086782,-258.33331192687507,-296.35312020031,-300.72163018708324,-259.99041078986124,-255.14570771840448,-282.8984385439775,-296.76949829162993,-285.85921448192875,-251.57225143653395,-260.8125839041771,-263.6851544635874,-273.99501094240827,-261.85522166377933,-252.86787344369964,0,-309.13576338334104,0,0,0,0,0,0,-219.47431435875845
PFCLINvar31,-247.5562446187015,-250.9172755680225,-245.39205184088965,-234.76710081564713,-247.5200902398815,-267.71524079608497,-245.76174448126727,-256.14003059646,-262.8834673802618,-242.38675346811996,-246.97621677118906,-276.0033170091869,-287.516346115885,-241.11784151348994,-242.98780913552565,-262.6456440660328,-283.1221428735367,-263.8118237877664,-241.16612860805282,-249.01107071770357,-238.55907826924562,-258.2566874874299,-248.52206821408814,-243.35147151517126,0,-272.7617056047177,0,0,0,0,0,0,-211.8152989916187
PFCLINvar32,-252.01714716017233,-248.828179753973,-249.362442551763,-242.91413124000937,-247.81537036370403,-267.3576076510227,-250.05014270175155,-256.43813141292287,-254.22332508186304,-242.0665237086068,-250.45510381127002,-268.5606317496449,-269.06797869576974,-251.41669591044905,-248.64251913195596,-250.58860831492834,-267.9506125208598,-245.54613027756778,-242.4766247413124,-250.1802436402376,-237.23711690641736,-256.5703390076389,-243.60763767905613,-238.43083302150959,0,-219.94955998305574,0,0,0,0,0,0,-250.33393230909834
PFCLINvar33,-245.37212637148872,-241.89452956644988,-242.53257338457934,-234.93472235426262,-242.00989575612138,-254.79543356594678,-246.55683995061497,-254.71700766487464,-250.5335203131266,-222.73995247494037,-243.73301134958302,-265.98627476265614,-270.0022776096234,-237.4793213139696,-237.86130032913718,-245.32246966702942,-264.8233971138526,-239.9058735442789,-228.2146592352437,-243.82231103929735,-228.7367751155951,-254.4363179112398,-233.72292494713056,-231.4485413528261,0,-257.67005504217434,0,0,0,0,0,0,-237.2380280769746
PFCLINvar34,-262.7804796472767,-258.9435756283188,-262.5242104000939,-266.63394123862696,-259.68851594312014,-272.88929787733457,-262.01966830077595,-267.8766804376976,-265.70788411096845,-254.5311229222297,-262.3089863664419,-277.9448717971753,-274.8822848578295,-262.1089634033515,-260.7728300136773,-271.578919781932,-279.542434042288,-277.37081087774015,-260.5113293084366,-261.2900242715653,-257.3004630090315,-269.30914598781936,-256.7272265878567,-256.5057052073454,0,-251.33007103421255,0,0,0,0,0,0,-267.4478954880362
