seqID,DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
PFCLINvar04,-259.689251383391,0,-273.2003807782451,-293.948047796404,-307.964672158828,-278.62138569126154,-267.9269652534655,-279.2878285403916,-270.81434555524663,-288.3664369604907,-283.9497177969035,-278.4470794857078,-268.94424208210205,-306.1502413386229,-283.5386891588935,-311.81138208093375,-293.46158787492,-333.21097789907367,-282.6806359767624,-269.5014823534895,-306.10048383318815,0,-284.4045908886015,-291.175993196064,0,0,0,0,0,0,0,0,0
PFCLINvar07,-262.50738193780074,0,-264.3245836917425,-314.0639273900292,-295.51151540342516,-284.46347376170576,-276.4537704869796,-278.70068735001325,-276.0879747673396,-309.8754984976274,-287.0237663043342,-277.1845451719639,-269.13186216709624,-328.22354094699455,-280.4439237252399,-326.55484130000633,-301.2599642940006,-347.1581756037079,-314.9641497125306,-266.2436639102261,-321.3350084087723,0,-306.51694073826394,-294.5518285433726,0,0,0,0,0,0,0,0,0
PFCLINvar08,-248.8516250845472,0,-241.20113146092748,-252.98766644728568,-257.22695652622497,-256.2207054778946,-242.509865486848,-259.511989051274,-262.8633130973982,-256.54008787694266,-239.7397853715366,-272.7892312043364,-260.49824484173706,-274.3100830509901,-236.21829712046778,-273.9427524496361,-279.7424362588846,-297.5702190978213,-259.8216414457234,-231.35409122707006,-277.09993294710875,0,-239.81075556093114,-243.20734386796585,0,0,0,0,0,0,0,0,0
PFCLINvar11,-250.483142232488,0,-264.804915711259,-268.92017260960364,-285.80861855570134,-250.1087983174946,-258.308125040906,-274.93669596498967,-264.7639146790707,-263.73335582114095,-266.8890623857156,-288.0368205122734,-262.689939895178,-282.6238588694461,-260.4710321682679,-289.64696580020023,-282.7241867427804,-303.0947907081705,-261.170448505211,-253.70499605550972,-295.28696437596955,0,-254.51888040426155,-262.3192107471462,0,0,0,0,0,0,0,0,0
PFCLINvar22,-251.34943096411683,0,-256.76481108139603,-294.0617421254622,-267.39612950996155,-274.74868821367596,-264.1488796011886,-267.4120206688932,-253.11349007748026,-290.4621779594534,-281.2473277172965,-267.8344297604716,-256.274916572552,-315.9368200897487,-277.6849815205743,-302.7692746782042,-274.00926875651504,-317.4659598736295,-295.9100510010613,-263.75194465191225,-303.754170583028,0,-284.07944151174763,-280.5604467403497,0,0,0,0,0,0,0,0,0
PFCLINvar23,-232.81965934415084,0,-243.09253346380694,-281.3641147072802,-279.80107891630877,-269.11205650804425,-246.0012635079055,-261.7375486119117,-245.36797620363828,-263.2675880116291,-259.4921187735573,-223.31668575299585,-226.90112593231484,-289.793104471422,-258.42455732595084,-247.89011511614,-223.28667855600358,-255.9502811072616,-270.8873505503358,-251.3617051491141,-279.3720932997254,0,-265.18679216356986,-269.636928590919,0,0,0,0,0,0,0,0,0
PFCLINvar24,-227.0198746401436,0,-236.1128425585721,-246.88988685043745,-262.52637925671405,-249.80838207531437,-230.30272101881084,-245.55615548920287,-224.3374207894651,-231.56433318431775,-229.69569570473297,-252.43177794770213,-228.53544355698696,-249.20541083039183,-223.607691319145,-257.9264000232082,-248.23919200348084,-273.3816571742114,-236.65337441490672,-230.7621337806547,-254.055435391129,0,-226.6153645686465,-231.9728770791429,0,0,0,0,0,0,0,0,0
PFCLINvar25,-241.33677381006356,0,-243.14467490555958,-284.9304830401464,-261.1622726478026,-265.50681804538505,-252.35905085592145,-257.8213005204866,-248.63390497481694,-271.18520822020696,-264.37222335923843,-231.52869150746392,-225.43857740523535,-297.743374556717,-268.0169022939348,-256.34134705055305,-231.08296552195452,-267.11429747254834,-280.92274236602793,-243.59573305890203,-294.52028135020856,0,-270.72332659472625,-278.320945922823,0,0,0,0,0,0,0,0,0
PFCLINvar26,-236.0854579825544,0,-243.8447494658549,-275.26146678118675,-262.7424652902195,-267.0143082256178,-248.9192818197368,-253.07936196048726,-250.2739810024072,-271.12485719807387,-251.858591430882,-215.07823718521658,-233.80363301761787,-293.25875777135366,-262.7244336762047,-256.8586276855592,-228.10730843187685,-266.0541303485609,-275.68102660257387,-235.76994898442032,-288.5952952939188,0,-270.69296739149183,-270.4370397939885,0,0,0,0,0,0,0,0,0
PFCLINvar27,-231.55022292192902,0,-236.35997385805686,-247.45763820116767,-263.0192991483265,-254.332542741819,-230.33658751503935,-254.6859556819438,-235.52687325353006,-240.1932828191021,-235.8297755028994,-266.48758127255905,-243.97804759292686,-264.78934327026934,-237.96315759421122,-264.9743363370159,-254.06014224357457,-281.65815348095975,-248.7591508818819,-230.07468730554976,-254.30694206749732,0,-234.30466692550533,-229.45114162358814,0,0,0,0,0,0,0,0,0
