"","A","B","C"
"PFCLINvar04",1.63632229139533e-21,0.163333104260098,0.836666895739902
"PFCLINvar07",2.14740975187431e-24,0.000187337334935182,0.999812662665065
"PFCLINvar08",1.70001922730454e-15,0.985535806122685,0.0144641938773134
"PFCLINvar11",1.65501748856696e-17,0.999870276620775,0.00012972337922474
"PFCLINvar22",1.20422089946562e-23,0.0217219961794206,0.978278003820579
"PFCLINvar23",1.99099156415247e-20,0.999992709398435,7.29060156542156e-06
"PFCLINvar24",5.4003084613785e-11,0.998814956516194,0.00118504342980312
"PFCLINvar25",2.06705351659399e-25,0.996247892663161,0.00375210733683887
"PFCLINvar26",5.67547552525066e-24,0.155154711783003,0.844845288216997
"PFCLINvar27",3.25694519416396e-19,0.999908581854263,9.14181457372192e-05
"PFCLINvar28",5.90960967522309e-16,0.949543507460841,0.0504564925391583
"PFCLINvar29",1.08020333034105e-10,0.998116804007094,0.00188319588488616
"PFCLINvar30",1.62282982330453e-18,0.999999999999768,2.32528578510354e-13
"PFCLINvar31",7.62397458424349e-10,0.999999999237587,1.61181302908898e-14
"PFCLINvar32",0.999999999999984,1.58589792784147e-14,3.58529974074423e-23
"PFCLINvar33",0.999999459503627,4.65610088354597e-07,7.48862841089311e-08
"PFCLINvar34",1,1.14784756460213e-36,1.03592692211896e-38
"PFCLINvar36",0.664218266545969,0.320237273372479,0.0155444600815527
"PFCLINvar37",2.26187069797539e-21,0.0421349184128598,0.95786508158714
"PFCLINvar39",1.55744504276328e-21,0.0262921326643589,0.973707867335641
"PFCLINvar40",4.20144268486175e-10,0.999746791474572,0.000253208105283399
"PFCLINvar41",4.83792644315787e-26,1.51614786154494e-08,0.999999984838521
"PFCLINvar44",5.80331199580203e-12,0.984545708469331,0.0154542915248655
"PFCLINvar46",7.45974871986153e-27,0.00150744079801505,0.998492559201985
"PFCLINvar47",1.1557910089758e-17,0.0287872978182248,0.971212702181775
"PFCLINvar48",0.107706139577891,0.892293860380637,4.14721774377922e-11
"PFCLINvar49",0.999999999999992,7.64574800909123e-15,4.98723743859011e-22
"PFCLINvar52",2.69279167879735e-15,0.999408911394756,0.000591088605241152
"PFCLINvar53",4.17555395956307e-05,0.999955199472243,3.04498816116239e-06
"PFCLINvar54",1.51769751544987e-16,0.685962949111633,0.314037050888367
"PFCLINvar55",1.4413400089255e-17,0.402292864241558,0.597707135758442
"PFCLINvar56",1.02861873271469e-22,0.0473096481811257,0.952690351818874
"PFCLINvar57",1.15505357733375e-15,0.999988738673972,1.12613260268476e-05
"PFCLINvar58",3.21889746040934e-17,0.999977728487552,2.22715124476398e-05
"PFCLINvar60",8.96817101252035e-29,9.91912023423939e-14,0.999999999999901
"PFCLINvar61",2.99830763423046e-16,0.0134901180873606,0.986509881912639
"PFCLINvar62",0.999999999999995,5.24362793328353e-15,1.33003903875602e-17
"PFCLINvar63",2.08768294406763e-27,3.53215854877738e-16,1
"PFCLINvar64",3.51467439237418e-22,5.49980603706867e-07,0.999999450019396
"PFCLINvar65",9.18690721292839e-29,0.00781031916856025,0.99218968083144
"PFCLINvar66",5.36179777838681e-18,0.990805723647517,0.00919427635248292
"PFCLINvar67",1.87188435718235e-11,0.99351384409511,0.00648615588617085
"PFCLINvar68",1,6.93055773658903e-19,4.98941858040123e-22
"PFCLINvar69",0.999938187152112,6.1690974355716e-05,1.21873532747996e-07
"PFCLINvar71",1.05930178234398e-07,0.860787591234399,0.139212302835423
"PFCLINvar73",0.999999999290689,6.91881153606969e-10,1.74296280813178e-11
"PFCLINvar74",2.5990689147595e-09,0.980512539050571,0.0194874583503602
"PFCLINvar75",0.99999913530655,5.19564402763494e-07,3.45129047607661e-07
"PFCLINvar76",0.999999999989333,9.31071508006945e-13,9.73636247901293e-12
