seqID,DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
seq_301,-258.3523808407433,0,-264.2301601410178,-289.9091141428039,-275.58526310898793,-280.15025525881947,-262.6382066671644,-284.0945447962201,-250.52267741455003,-282.4965031313386,-275.5134569277135,-279.7591416264098,-266.66738425936705,-303.42446393201925,-273.6185623040201,-306.4063331917611,-268.8185993037452,-309.1305861190241,-284.3637603814847,-270.2947597263403,-289.3733864348096,0,-269.2637906470601,-274.3254803824693,0,0,0,0,0,0,0,0,0
seq_302,-224.64023622850976,0,-229.43485967430186,-250.92090693763777,-248.24883655428272,-235.89292612070236,-226.10694002044747,-253.07161922112314,-224.1327117017487,-240.02316805302598,-240.1213346031505,-242.29771124315948,-220.56731274746696,-265.0078106831224,-237.2574014230823,-260.99864867926203,-245.95559773564224,-276.5918302137228,-248.68928807111462,-227.2420944561297,-261.31421598495376,0,-238.1845203179165,-240.2531517314355,0,0,0,0,0,0,0,0,0
seq_303,-256.17006546060554,0,-246.1745113249054,-288.31831906051286,-301.8940139011341,-261.19010834877975,-261.2980407366806,-275.9398761434104,-276.0570441603903,-278.8935098989288,-266.76280943634754,-292.87541623475465,-278.21739407671896,-300.904152582693,-267.9621935336382,-304.2706693559529,-290.5095358199446,-308.8880683520285,-281.04166165816616,-266.15467269339484,-303.9992010700878,0,-282.14069716678995,-273.5518394135228,0,0,0,0,0,0,0,0,0
seq_304,-245.99459251567734,0,-254.27492946995838,-230.87562692737458,-276.90751460192246,-265.5572061086016,-234.68626916638783,-267.1778280637338,-259.2038790773158,-243.06258925659083,-245.135668385158,-277.4643572947514,-254.75071664939964,-252.29967755655764,-249.34706941316384,-259.17858689146107,-276.08288759156034,-289.71049350876956,-241.84792784739136,-243.43726104391212,-262.01134381311493,0,-231.56586317873283,-237.4676909734822,0,0,0,0,0,0,0,0,0
seq_305,-253.15611609531564,0,-259.68397501586963,-250.92254614754225,-276.91624554156476,-280.9617285769247,-250.55322268821448,-276.1551284252724,-267.0163471892615,-239.56629222781788,-252.9818468496224,-257.5183093021146,-253.33293739843478,-244.8515225523789,-259.7275476047297,-225.9951468461838,-250.65298086922908,-226.48802725410002,-241.89096246047225,-262.07515781224976,-261.52140515650933,0,-252.8591323010965,-247.65580203595349,0,0,0,0,0,0,0,0,0
seq_306,-238.2372670581192,0,-239.70241361749552,-233.16298622833446,-274.04746751302184,-256.83107254164753,-234.69774210317962,-259.5882561522187,-243.17830294807715,-223.41951555200816,-239.0869402064519,-271.49099926451794,-250.20625693883602,-251.33710289844916,-237.08875471482392,-249.58680318005577,-259.5739371724776,-270.2817800519057,-236.6744574798458,-235.02983500345647,-255.7861345425501,0,-215.60856669505426,-219.54313755696694,0,0,0,0,0,0,0,0,0
seq_307,-237.6357519799401,0,-246.43040489856233,-233.86465517512627,-263.24407428961524,-262.0859238985077,-230.5624064078879,-258.58795536099484,-255.96403704315927,-232.3307932793279,-237.76421396216384,-232.96170031519526,-229.10559049843687,-235.35258870030216,-241.154966650382,-197.153565959718,-232.27010982667264,-227.28611441638458,-229.3778404477314,-246.8430269588773,-248.84579975710594,0,-236.1279718968751,-236.30383122711274,0,0,0,0,0,0,0,0,0
seq_308,-254.66789137347075,0,-245.39361650912227,-248.8414183090993,-266.54997039906937,-261.5643363425324,-251.9276025530107,-270.21917151459684,-262.5185469833947,-250.39950632737992,-247.72639073455,-278.0639511048941,-266.83434891127814,-262.31306945542207,-251.82229890253547,-282.9745896905654,-278.398864711809,-272.77043780335924,-258.50763525135454,-241.07614985958577,-259.3167995003637,0,-252.9603119503868,-244.42188566282869,0,0,0,0,0,0,0,0,0
seq_309,-247.89224395259637,0,-253.11245238385712,-287.27610113151894,-305.0917648724739,-267.9822430146669,-258.5295705324147,-277.19636789849585,-255.36760874846334,-285.52953378091274,-267.05685613401823,-273.8555102266982,-270.5148577096098,-309.45217522411866,-266.15130811164147,-311.72796245122487,-283.738447235816,-319.71191249689844,-284.43867710525495,-257.38007718482135,-312.9384728196029,0,-273.12638790337706,-275.3926655832125,0,0,0,0,0,0,0,0,0
seq_310,-235.38692130299054,0,-235.505437970691,-242.7427996258879,-253.44222496851236,-261.73909185887993,-237.7541484226304,-247.8139215616228,-248.14226103968022,-227.79206326981287,-235.04755514098554,-224.26180380621264,-236.8416518144695,-241.94102656792055,-233.2684058507917,-202.59096277762382,-235.61153570527847,-224.77986934326864,-236.028722219182,-231.04527400688517,-251.50775592900854,0,-232.33305508984807,-235.16298744732612,0,0,0,0,0,0,0,0,0
