seqID,DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
seq_301,-259.23345064317016,-269.8753635210518,-263.6937531672324,-280.460306341064,-270.2893531274005,-270.874424342315,-264.10462025052675,-267.0820832754295,-249.44994232315403,-278.30328929345444,-270.8554331275864,-280.8787588691439,-272.9950033623949,-290.20459289156025,-272.62412332197675,-288.54360519672576,-282.416038690966,-304.63858760979036,-279.9473649527062,-267.33906146817867,-269.31757729977784,-283.0407298757881,-266.61419467535825,-275.4365344093894,0,-315.8530426065202,0,0,0,0,0,0,-296.4488333347155
seq_302,-224.7448614456529,-226.32811030276986,-228.9858927958383,-240.44759634359465,-230.70379067095072,-237.77207740208098,-227.65963020996287,-236.8822631320912,-225.75982919071848,-243.590107876134,-234.6392599682421,-238.06790757392267,-242.410488053742,-248.09859649621012,-236.6163646275462,-250.23665211234496,-249.67372282421502,-267.0940280370277,-241.17175615764017,-231.61923208674602,-231.9672797599891,-245.5993256605556,-228.28097610364222,-236.90831131912546,0,-288.6252551162222,0,0,0,0,0,0,-255.5882942391335
seq_303,-254.83774531119948,-279.9401308588953,-241.4197632113116,-269.5892777355623,-271.1774612245679,-255.80473145531505,-265.95898299992797,-266.76784275921267,-275.43859922428044,-280.24628145683346,-265.4750632294659,-290.2290747488264,-302.6971109875536,-280.22276377898004,-262.6329413222357,-286.76963358391845,-287.6094256818335,-304.94518729320487,-277.6549946127812,-266.7750835436469,-266.3936888701815,-285.6734344392225,-267.0930874150284,-271.67097326878906,0,-336.2297227011755,0,0,0,0,0,0,-280.5236606939651
seq_304,-244.55611650891714,-241.7392777834842,-244.51625314262992,-224.11718985933624,-237.06208752536133,-251.67919829142767,-235.13806171420129,-258.58024686128033,-252.71384181025016,-249.4508354119355,-237.3561941800896,-269.97488706515975,-281.2133729322009,-231.89048775898542,-234.78316641384777,-254.4384649145239,-283.05321530205566,-275.99004306860746,-239.72349845591086,-241.81216247892775,-240.35463397770408,-246.20600933406666,-236.25343877252052,-237.47522426944082,0,-300.89912653441473,0,0,0,0,0,0,-249.49659372724057
seq_305,-251.1450927313983,-252.22928739453783,-249.62011108301724,-237.66816158703386,-253.5557541987721,-270.70634431435593,-247.70604024911864,-248.81505535499392,-258.0939301415944,-245.08340398884343,-254.34702294807548,-256.7240405888413,-250.52265593931386,-243.9397489118068,-246.01282111733693,-235.48076372631263,-242.48492484123997,-228.34979656214387,-240.27624862623094,-249.09244829500872,-241.37963700170985,-236.45068072013203,-251.27325308647858,-246.83903597269574,0,-265.2960059931556,0,0,0,0,0,0,-233.6253240108283
seq_306,-236.79788357856947,-225.96220110640044,-234.25546481230086,-227.584657264488,-234.4986453099393,-240.9363679100464,-232.49174546586275,-254.47060768035863,-235.7837743528725,-234.24102882512338,-232.6374731063713,-257.74248197796095,-262.68345669040417,-234.58193013802827,-223.0499687922023,-235.4959636214583,-263.7809108122871,-255.21129120569233,-235.55752926584137,-232.44484488752286,-224.93657984643366,-239.58695152194204,-217.47583864650454,-222.0273664870299,0,-280.5704015401522,0,0,0,0,0,0,-239.57906041775652
seq_307,-235.3079536434454,-238.1299790353997,-237.48460577576287,-222.81171834427383,-235.68874718802977,-259.04197343109763,-232.6935275080497,-235.0237769766341,-247.52496965160236,-241.73692885075167,-237.05820827096784,-239.22640401431175,-233.20981175951636,-217.44805842274263,-232.01582126076045,-209.10702215753454,-222.36655611125516,-219.70994529422407,-236.29039329743875,-236.0680949412209,-233.5854557083794,-210.01635952715588,-235.69894497619512,-236.78979158471918,0,-273.4775240621612,0,0,0,0,0,0,-240.61781204488574
seq_308,-250.82387294410907,-255.095413784171,-244.33382815579574,-242.51392106726323,-234.94338603159397,-257.4289260873875,-247.60961361542277,-255.00599441810917,-260.4728767285985,-250.08581090353462,-241.7034193955473,-272.801483175464,-284.64572666904286,-251.58103401927153,-233.93576532950044,-265.2686551180008,-286.33986193750667,-260.32963301180087,-245.32653552231506,-238.19419726468274,-239.67164400670842,-266.3121254401703,-245.71621591029813,-240.1167119545981,0,-271.2324316156665,0,0,0,0,0,0,-234.77912608635273
seq_309,-252.1117313016629,-269.7221873969337,-250.9703446199396,-275.3655644360853,-261.55965944796725,-251.79314541834404,-260.693353340839,-273.6070938299213,-265.2968651336103,-282.02765125479965,-263.5120228993517,-277.91011630648757,-283.85834461399526,-290.9861239648921,-268.6418663144647,-287.16130416315474,-286.5503013080989,-311.1991493880721,-283.1735081269521,-256.59957348146855,-270.1514105711717,-279.8554341343035,-258.59055941997383,-271.87148242278005,0,-323.87958468194415,0,0,0,0,0,0,-285.02381390499954
seq_310,-234.00155454277527,-238.2171414975322,-229.00535475518848,-229.61295246995286,-223.76520650329311,-247.24669399607535,-234.32021830236275,-220.74725065550504,-230.87489818029945,-235.18813502803047,-228.0305394062528,-223.90974150505022,-228.27876488401571,-234.33239608519224,-220.15196843993135,-212.49957087515554,-225.43356296190132,-218.77787167096358,-234.12996635649588,-218.23427609018154,-225.27610876834672,-209.67875451447085,-232.88747753666203,-232.65194300707847,0,-272.0093936801945,0,0,0,0,0,0,-240.48821370171936
