seqID,DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
seq_601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-267.2813696706148,0,0,0,0,-257.03136382142173,0,-227.12002971094415,-225.81910756608207,-260.46645317879813,-233.6180022672139,-226.17508497726567,-228.1408541698049,-199.0369807283041,-231.10861968823525,-278.7209678177259
seq_602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-260.63237060923706,0,0,0,0,-273.00839082735524,0,-272.210388827226,-265.00432819964226,-271.8035298987194,-233.6282878652487,-247.7439252833524,-245.33574977154058,-247.9589464349733,-260.52805963069494,-265.6976562889629
seq_603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-209.2253433132205,0,0,0,0,-249.3430994132235,0,-250.9506182653751,-236.328391706944,-263.9815166581064,-215.34775728665537,-233.68574704092853,-229.78894955787183,-219.13447467371685,-244.48273603533158,-268.6535569654576
seq_604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-228.29762180726794,0,0,0,0,-263.9407833366023,0,-257.021712718737,-245.77827188542443,-269.0354014373569,-213.92333603632937,-239.699900745906,-236.8563395446387,-226.9284886581184,-251.17656603842389,-261.5023955378465
seq_605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-249.08097654685764,0,0,0,0,-257.5817849878202,0,-233.0766949758513,-231.39249986700347,-264.40784915278675,-232.2163436244646,-224.1548322138881,-219.0325441804676,-219.0221991990442,-232.53951704916008,-263.8448158462721
seq_606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-294.6023748224325,0,0,0,0,-274.74204092194805,0,-283.5588217405833,-278.522965679479,-286.35522318454247,-281.4786101865838,-262.08677134331526,-269.75440710724786,-270.57580778424415,-274.3667848223017,-281.66621503608064
seq_607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-274.04019395170343,0,0,0,0,-249.01871343702123,0,-243.5326077657662,-243.2200121163912,-265.8043358608875,-250.41620524390214,-239.56403207741346,-234.9748774820773,-233.86699707248457,-241.11787186115365,-277.9678068993926
seq_608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-152.97702044355717,0,0,0,0,-229.93922816018454,0,-235.97501167249493,-227.75465678530753,-266.7082364087283,-194.38787587121828,-206.59140675848482,-216.9739365858483,-188.84521624366855,-233.19412699698174,-250.80273693101213
seq_609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-311.1132279867569,0,0,0,0,-284.7481720693668,0,-293.6412243022556,-285.2369503585754,-292.7469705804079,-288.84499558642307,-265.20704579439894,-275.98250306100033,-276.2638476987574,-283.10173475207733,-294.06778810699547
seq_610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-364.5029386805139,0,0,0,0,-339.46932380573736,0,-344.3290200757396,-336.22112923989397,-343.41777766750994,-344.51793577960393,-324.28233139807355,-333.0540729776947,-335.3040871072018,-332.7751926994059,-354.45912179556814
