seqID,DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
PFCLINvar04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-349.672929675838,0,0,0,0,-323.66002126345626,0,-319.33977151123713,-315.58293693020056,-315.89263977996865,-325.77982567280026,-307.29912364974825,-306.9748578262107,-308.6282734135579,-307.7386092830706,-337.8781444362336
PFCLINvar07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-364.88716924801884,0,0,0,0,-340.2660259898076,0,-343.8463541008245,-338.7272237835229,-345.5844314990979,-340.5668164612593,-315.5925039378829,-330.0817989785339,-334.08135060837157,-335.51184242117034,-335.74393988097887
PFCLINvar08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-313.2096145001424,0,0,0,0,-292.02570904409134,0,-294.3857612524145,-291.3102757801578,-303.7552660534596,-297.23485095217217,-261.2671182580325,-284.6177833836645,-288.6526697846877,-291.7623289034138,-274.3346726240303
PFCLINvar11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-322.28904425330234,0,0,0,0,-303.74011682827773,0,-307.91343092541945,-300.9088198191106,-300.18269210364184,-301.5693841541998,-278.72120946027565,-285.31770880486766,-290.6150478439908,-292.59092743614457,-303.41542863775305
PFCLINvar22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-336.820664739089,0,0,0,0,-318.52040521755504,0,-316.09235522718075,-311.3975818724779,-318.0364304690042,-318.99352202072663,-302.74081014028116,-306.38258557519845,-307.94954522094764,-308.5791265413091,-319.7527209983414
PFCLINvar23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-278.42003101456544,0,0,0,0,-292.0878030018892,0,-296.5130854928716,-286.06177778062647,-299.1748689255963,-257.7960898646829,-276.72084102941835,-268.9298483199541,-271.34237788790153,-284.787160246564,-301.0699650586889
PFCLINvar24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-290.58449071043077,0,0,0,0,-255.4011950526987,0,-255.7940122103072,-250.41063491505787,-263.19533286155666,-264.20229969915897,-248.00082937819167,-241.01647915190972,-250.8914998088228,-242.88184113153451,-268.81811419882666
PFCLINvar25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-287.7927764444142,0,0,0,0,-305.85871373403376,0,-298.94577652352973,-291.68143067062937,-305.1840560788798,-278.28853648729773,-282.39620452885487,-287.99343746813855,-281.4733356852231,-292.73415778435185,-311.8152131907013
PFCLINvar26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-286.8790617896416,0,0,0,0,-301.7070761255403,0,-293.59509419675413,-286.83352766569743,-301.8820314072996,-270.5160507502066,-276.8942211462932,-282.59072942777743,-280.4777326143226,-286.22925453456287,-304.06505937045375
PFCLINvar27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-300.3468786598653,0,0,0,0,-264.8661853607259,0,-278.438724975761,-265.2517889043651,-277.11207417684335,-281.8263191787763,-263.22785368969585,-263.86679629674984,-266.16980446529044,-263.8354224122699,-290.4093882288799
PFCLINvar28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-296.86315350732053,0,0,0,0,-261.74217676497165,0,-273.7716604603972,-261.3844464082524,-280.84062538129086,-265.82276482143965,-246.76404636005807,-256.71616034321715,-250.75535472216973,-260.9935246575857,-269.98644505384783
PFCLINvar29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-313.5866572415123,0,0,0,0,-301.50846598976113,0,-281.24880214186106,-286.8543699684175,-299.2646224800825,-289.1039842597399,-262.77611468513237,-279.0992289427732,-276.4222410148691,-283.2999011569704,-273.48412945058726
PFCLINvar30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-308.39241575452485,0,0,0,0,-305.6446282321122,0,-298.3490717522415,-294.3872269281655,-295.6403713760039,-282.72686326851675,-262.4435021671301,-276.8328376596166,-276.04220042613184,-287.99135689111233,-259.34348337281017
PFCLINvar31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-281.05161459544826,0,0,0,0,-260.0406583633628,0,-257.36707643507293,-252.83446945028462,-278.47249908495326,-247.3743624043909,-233.91263605238515,-245.27631828382474,-239.32287434951806,-250.68132396655,-250.63228220571938
PFCLINvar32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-265.7919276312124,0,0,0,0,-238.76071474045312,0,-214.56866574057597,-191.39339488199366,-243.81357632066056,-247.10321743248636,-230.31790970274437,-229.1478879785825,-232.6705093310372,-206.7629028543411,-278.93697944917847
PFCLINvar33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-264.51015589952846,0,0,0,0,-250.5686398399168,0,-245.23768950329753,-234.89919339921968,-251.75997821937548,-249.98812132245033,-232.60433941961762,-236.4610172538467,-208.39191439974803,-236.9923137253513,-261.48849636658065
PFCLINvar34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-293.960990666359,0,0,0,0,-275.98816022978014,0,-240.7094466513712,-227.43982867235138,-170.34986401617994,-272.7566886031458,-260.51574362924293,-253.48079735954076,-257.2104107663132,-229.64304459129693,-289.9597445069844
PFCLINvar36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-247.33752778704104,0,0,0,0,-253.13113988169223,0,-235.32222784341903,-225.39924145246633,-252.43343850888263,-233.58169917500126,-221.0370942592246,-218.02837005901648,-215.81173585937844,-226.6173856904689,-258.8742088487688
PFCLINvar37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-335.2381314028288,0,0,0,0,-310.79122968717877,0,-314.25894537336546,-304.7472738755274,-317.04271649457087,-315.42739020118773,-294.18561304579373,-305.82515018496105,-309.19018240030624,-306.4971241449329,-312.0871527574721
PFCLINvar39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-354.7708509314669,0,0,0,0,-330.94180801355594,0,-325.88134920401245,-320.1365341623385,-317.50846233843185,-319.6089551367997,-293.85028756061786,-306.86754181644216,-308.58558157503063,-312.81340661540276,-324.4004211473165
PFCLINvar40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-301.0000700954939,0,0,0,0,-275.5011480771114,0,-275.77839692138275,-268.7438041341936,-282.460387469306,-271.51241721758646,-247.5487996071306,-258.72306049257065,-261.6318212944248,-264.2836607276694,-266.0093873872428
PFCLINvar41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-347.16808324316304,0,0,0,0,-319.70048309291155,0,-320.9078393096058,-316.8071420331897,-326.32002955526434,-325.7369211727041,-295.99685339652046,-301.3865119124996,-311.8035920498884,-310.10957061237235,-323.0444421532674
PFCLINvar44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-247.74523819430857,0,0,0,0,-269.01034662791096,0,-274.1785735997027,-264.8875830621388,-278.9297143717567,-241.6407830408796,-247.35841649551622,-253.75633297740242,-250.41361315998338,-263.7987721589025,-269.93335814758
PFCLINvar46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-364.5029386805139,0,0,0,0,-339.46932380573736,0,-344.3290200757396,-336.22112923989397,-343.41777766750994,-344.51793577960393,-324.28233139807355,-333.0540729776947,-335.3040871072018,-332.7751926994059,-354.45912179556814
PFCLINvar47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-301.6628571533364,0,0,0,0,-292.3081421729426,0,-283.1709494334658,-278.29291454739337,-297.027345186535,-287.6060160379312,-269.6583615729457,-278.7209407235724,-278.3340171260624,-274.84037500437967,-291.63682570760386
PFCLINvar48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-288.3574764814831,0,0,0,0,-279.9330719382546,0,-260.4260851418362,-255.8153063352044,-279.6813283914284,-258.0287277091543,-227.41099087753105,-248.96655802405076,-250.29435546988333,-254.69789561561572,-246.8529901766051
PFCLINvar49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-266.42216477747155,0,0,0,0,-262.43238797116476,0,-198.74048177485525,-207.3719622056849,-239.0530551780019,-242.01240043168704,-221.93503830734508,-228.0260371848753,-223.58561282048183,-207.93941626092058,-277.68319355242267
PFCLINvar52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-293.13483605737173,0,0,0,0,-275.49169848174296,0,-278.21718538252327,-265.567483700191,-277.71547057373607,-269.9363716078798,-251.80370459245762,-255.10220102399327,-253.43994717817586,-262.5902979946836,-270.77048226272007
PFCLINvar53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-295.18717855562613,0,0,0,0,-287.96677689667735,0,-264.6744080507239,-260.13656875394923,-281.7200199491515,-268.41057373297133,-240.74561777125868,-260.5586897061579,-252.9286298478857,-266.4124648340484,-271.7105712393029
PFCLINvar54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-335.8756262484182,0,0,0,0,-308.4176884843369,0,-323.0667489341477,-309.91737149839935,-317.78989160266974,-311.88035388629845,-283.74881016926724,-304.6695181989367,-301.9338616454232,-307.1414278689071,-317.5836088059437
PFCLINvar55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-341.88846023539185,0,0,0,0,-317.08691870717075,0,-325.8484847867148,-317.6310383875381,-323.78713133914437,-316.0638733240385,-290.61952206809445,-307.3328308806526,-310.1642194079657,-314.90590764496494,-303.79691512447977
PFCLINvar56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-328.50838350312586,0,0,0,0,-318.2435010047685,0,-308.38990054017165,-302.6761509023331,-310.8307824485492,-307.76209320679055,-290.47656113878554,-302.1793833031864,-297.8899566412185,-303.2985262154719,-319.8639051462205
PFCLINvar57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-346.86505764144556,0,0,0,0,-310.78916734998865,0,-329.04341439704734,-320.4638635752978,-329.02904837351156,-321.24795915092693,-300.14137401543854,-308.6218921801722,-318.0160426969068,-315.4681755965256,-329.7500931041944
PFCLINvar58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-307.38610569626314,0,0,0,0,-274.4012412908892,0,-274.15113132318004,-271.3850298108935,-279.96697517816295,-275.6393267427386,-257.93636569145343,-260.64639140530534,-264.16805188134884,-265.23012584778894,-280.8971183022845
PFCLINvar60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-279.2705477528256,0,0,0,0,-279.5414171658481,0,-260.10697733731445,-254.9302522086872,-275.66398641031367,-254.1180663638553,-247.24982273198592,-249.33819363523352,-239.08444836013655,-256.2379245981681,-273.72271315659634
PFCLINvar61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-282.6829364028668,0,0,0,0,-269.943088950551,0,-267.1890582640892,-257.1978505842048,-275.5596074988637,-255.61137813899873,-247.4341723486442,-252.35030332817817,-244.894836046263,-256.3144535392723,-273.8037673867841
PFCLINvar62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-275.3137039464829,0,0,0,0,-251.08596224082208,0,-198.04970660830602,-208.58606751922673,-236.69129870885354,-247.02593983982692,-226.15587315807284,-213.10017346091888,-233.0235857613584,-194.87243573983537,-266.4566857226301
PFCLINvar63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-288.4925265921437,0,0,0,0,-274.33107199901497,0,-271.55961094332736,-266.68619844071276,-280.9515088183352,-268.05986930113613,-257.93474891471885,-249.609516835985,-256.9436208035635,-260.07322296398587,-272.8029266259203
PFCLINvar64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-319.7603308852018,0,0,0,0,-295.0513460752336,0,-299.5206754429072,-286.6302063190123,-300.73153957532804,-297.1486839435502,-265.85559059842524,-282.17841078116146,-289.4682444117283,-284.0986467711773,-293.5922054607267
